gene_id,entrez_id,chromosome_id,probe_id
92066,259308,28
4474,4500,9
25622,25873,12
89530,245939,14
109395,338376,28
1011096,None,None
1006760,None,None
25773,26024,25
610,613,17
25849,26100,25
5021,5053,5
1004309,None,None
2015,2030,24
81150,153768,23
57956,83714,5
27092,27347,13
1229,1238,18
57880,83638,4
9528,9672,1
4192,4217,24
2209,2224,1
26810,27065,21
30747,51266,5
1008059,None,None
503,506,5
1007088,None,None
41830,65987,4
34912,55623,9
5136,5168,27
1005462,None,None
134319,441204,25
34377,55088,2
3717,3742,5
54894,79054,13
10770,10928,11
79818,139562,31
10770,10928,11
1004769,None,None
1008982,None,None
23223,23468,5
10097,10243,7
34668,55379,10
9162,9295,1
4169,4194,1
2899,2916,23
1009092,None,None
92434,266977,24
110424,349152,25
1000490,100287482,25
76655,113263,25
28802,29066,9
10369,10516,7
27180,27436,13
3209,3229,5
818,822,13
79250,127933,1
30799,51318,13
79107,126123,12
83722,203228,28
35104,55815,9
55945,80144,21
123051,388588,1
1010774,None,None
150531,642273,13
1000960,100127983,27
76735,113878,25
6989,7031,15
152008,643037,4
2555,2571,13
1012005,None,None
8416,8481,31
26876,27131,14
248,251,13
1007999,None,None
56515,80741,24
26842,27097,1
172103,728294,13
1007367,None,None
3396,3416,2
652,656,1
79378,129531,13
30718,51237,23
29586,29851,13
77857,116535,4
110237,347169,28
79683,136853,25
110216,346606,25
77539,114815,2
2686,2702,1
1009485,None,None
169963,730196,9
8770,8847,6
30108,50618,13
23520,23767,14
1009032,None,None
10618,10776,8
134277,441161,24
81068,152519,21
649,653,24
35541,56261,14
1003978,None,None
937,942,18
34295,55006,13
5711,5743,1
1006928,None,None
1007401,None,None
33875,54584,17
5742,5774,28
4063,4088,8
10968,11127,23
1006570,None,None
55775,79973,12
8928,9048,1
58896,84698,5
80965,151258,13
1010124,None,None
22852,23097,24
152670,643155,23
1004379,None,None
1010901,None,None
36622,57348,12
26078,26330,12
1007908,None,None
36682,57408,18
58954,84759,13
36417,57140,13
30722,51241,7
1004238,None,None
36498,57222,23
56622,80851,1
55664,79861,2
35005,55716,5
6003,6035,7
26751,27006,12
1154,1163,1
1000784,449520,24
1010555,None,None
1004919,None,None
90060,252954,33
28851,29115,10
26220,26472,4
60068,91608,10
